name,category,area,contact,details,distance
Plumber Service 1,Plumber,Koregaon Park,+91 8337446730,"Specialist in Plumber, quick service in Koregaon Park.",5.86
Gym Service 2,Gym,KarveNagar,+91 8687448230,24/7 support for Gym in KarveNagar.,1.45
AC Service 3,AC Repair,KarveNagar,+91 7113916996,24/7 support for AC Repair in KarveNagar.,3.9
Salon Service 4,Salon,Aundh,+91 9592574581,24/7 support for Salon in Aundh.,7.41
Grocery Service 5,Grocery,Baner,+91 8726705791,"Specialist in Grocery, quick service in Baner.",13.09
Tutor Service 6,Tutor,VimanNagar,+91 9183652505,Provides excellent Tutor service in VimanNagar.,10.24
Dentist Service 7,Dentist,Hinjewadi,+91 9256574098,24/7 support for Dentist in Hinjewadi.,1.12
AC Service 8,AC Repair,Wakad,+91 8030441878,24/7 support for AC Repair in Wakad.,10.92
Pharmacy Service 9,Pharmacy,VimanNagar,+91 7696354899,24/7 support for Pharmacy in VimanNagar.,6.95
Grocery Service 10,Grocery,Hadapsar,+91 6418563100,Provides excellent Grocery service in Hadapsar.,2.47
Plumber Service 11,Plumber,Wakad,+91 8886395106,Trusted for Plumber needs in Wakad.,11.8
Electrician Service 12,Electrician,VimanNagar,+91 8178592016,Trusted for Electrician needs in VimanNagar.,8.82
Tutor Service 13,Tutor,Koregaon Park,+91 7750525019,24/7 support for Tutor in Koregaon Park.,3.87
Restaurant Service 14,Restaurant,Kothrud,+91 9678212432,Affordable and reliable Restaurant solutions in Kothrud.,14.87
Grocery Service 15,Grocery,Hadapsar,+91 8326866994,24/7 support for Grocery in Hadapsar.,8.75
Plumber Service 16,Plumber,Koregaon Park,+91 7147120938,Affordable and reliable Plumber solutions in Koregaon Park.,2.3
Salon Service 17,Salon,KarveNagar,+91 6380182329,Affordable and reliable Salon solutions in KarveNagar.,12.11
Pharmacy Service 18,Pharmacy,Hinjewadi,+91 6086437744,Affordable and reliable Pharmacy solutions in Hinjewadi.,6.69
Pharmacy Service 19,Pharmacy,ShivajiNagar,+91 6189794879,24/7 support for Pharmacy in ShivajiNagar.,9.41
AC Service 20,AC Repair,VimanNagar,+91 9085678348,24/7 support for AC Repair in VimanNagar.,5.3
Electrician Service 21,Electrician,Aundh,+91 7013404223,Provides excellent Electrician service in Aundh.,4.99
Dentist Service 22,Dentist,ShivajiNagar,+91 8575961649,24/7 support for Dentist in ShivajiNagar.,0.95
Plumber Service 23,Plumber,VimanNagar,+91 7252465720,24/7 support for Plumber in VimanNagar.,4.32
AC Service 24,AC Repair,Hadapsar,+91 7347891820,Affordable and reliable AC Repair solutions in Hadapsar.,14.4
Pharmacy Service 25,Pharmacy,VimanNagar,+91 7977444318,24/7 support for Pharmacy in VimanNagar.,6.1
Gym Service 26,Gym,Aundh,+91 6440546919,24/7 support for Gym in Aundh.,14.61
Tutor Service 27,Tutor,Wakad,+91 7851953618,"Specialist in Tutor, quick service in Wakad.",14.08
Pharmacy Service 28,Pharmacy,Wakad,+91 8238224693,Affordable and reliable Pharmacy solutions in Wakad.,8.45
AC Service 29,AC Repair,VimanNagar,+91 8490931620,Affordable and reliable AC Repair solutions in VimanNagar.,0.79
Gym Service 30,Gym,Koregaon Park,+91 8715194732,"Specialist in Gym, quick service in Koregaon Park.",1.37
Restaurant Service 31,Restaurant,KarveNagar,+91 7515762053,Affordable and reliable Restaurant solutions in KarveNagar.,9.33
Electrician Service 32,Electrician,KarveNagar,+91 6095272977,24/7 support for Electrician in KarveNagar.,1.38
AC Service 33,AC Repair,Hadapsar,+91 7078561971,Trusted for AC Repair needs in Hadapsar.,4.83
Gym Service 34,Gym,Hadapsar,+91 6762017499,Affordable and reliable Gym solutions in Hadapsar.,3.19
Restaurant Service 35,Restaurant,Koregaon Park,+91 7134460841,Affordable and reliable Restaurant solutions in Koregaon Park.,11.92
Dentist Service 36,Dentist,Kothrud,+91 8444944490,"Specialist in Dentist, quick service in Kothrud.",5.0
Plumber Service 37,Plumber,Wakad,+91 7025187973,Affordable and reliable Plumber solutions in Wakad.,3.22
Pharmacy Service 38,Pharmacy,ShivajiNagar,+91 6437406741,24/7 support for Pharmacy in ShivajiNagar.,5.17
Restaurant Service 39,Restaurant,Baner,+91 7883045643,"Specialist in Restaurant, quick service in Baner.",1.66
Plumber Service 40,Plumber,Koregaon Park,+91 7937469143,Affordable and reliable Plumber solutions in Koregaon Park.,3.76
Dentist Service 41,Dentist,Kothrud,+91 8274733327,"Specialist in Dentist, quick service in Kothrud.",5.07
Gym Service 42,Gym,Hinjewadi,+91 9709681814,Affordable and reliable Gym solutions in Hinjewadi.,5.43
Dentist Service 43,Dentist,Koregaon Park,+91 7482978347,24/7 support for Dentist in Koregaon Park.,2.38
Electrician Service 44,Electrician,Aundh,+91 9409610998,Affordable and reliable Electrician solutions in Aundh.,7.24
Pharmacy Service 45,Pharmacy,Wakad,+91 7802903493,24/7 support for Pharmacy in Wakad.,6.44
Pharmacy Service 46,Pharmacy,Hinjewadi,+91 6857151192,Provides excellent Pharmacy service in Hinjewadi.,7.42
Gym Service 47,Gym,Aundh,+91 7865528978,24/7 support for Gym in Aundh.,14.28
Plumber Service 48,Plumber,Kothrud,+91 9201996948,Trusted for Plumber needs in Kothrud.,12.63
Tutor Service 49,Tutor,Wakad,+91 8335865418,Affordable and reliable Tutor solutions in Wakad.,13.4
Dentist Service 50,Dentist,Koregaon Park,+91 7232703620,Provides excellent Dentist service in Koregaon Park.,12.25
